id,model_year,make,model,body_style,segment,fuel_type,city_mpg,highway_mpg,horsepower,engine_cylinders,engine_displacement_L,curb_weight_lbs,msrp_usd,transmission,drive_type,country_of_origin,safety_rating,reliability_score,highway_to_city_ratio
7484,2018,Toyota,Highlander,SUV,Midsize SUV,Gasoline,26.0,35.0,254,4,1.7,3639,42730,Automatic,RWD,Japan,4,8.8,1.346
7485,2010,Volvo,V90,Wagon,Compact,Gasoline,28.0,37.0,162,4,1.6,2861,25456,Automatic,AWD,Sweden,5,9.0,1.321
7486,2021,Ram,1500,Truck,Midsize Truck,Gasoline,23.0,30.0,252,4,1.6,4196,42256,Automatic,4WD,USA,5,8.6,1.304
7487,2004,Ford,Edge,SUV,Midsize SUV,Gasoline,21.0,26.0,170,4,1.6,3895,44620,Automatic,FWD,USA,4,7.6,1.238
7488,2011,Subaru,Impreza,Sedan,Midsize,Gasoline,28.0,38.0,179,4,1.7,3350,33486,Automatic,AWD,Japan,4,7.6,1.357
7489,2014,Chevrolet,Equinox,SUV,Compact SUV,Gasoline,26.0,35.0,180,4,1.7,3216,37743,Automatic,FWD,USA,5,7.3,1.346
7490,2005,Hyundai,Tucson,SUV,Midsize SUV,Hybrid,34.0,47.0,204,4,1.6,4081,42693,Automatic,RWD,South Korea,5,7.6,1.382
7491,2010,Toyota,Camry,Sedan,Midsize,Hybrid,38.0,46.0,203,6,3.0,3573,37959,Automatic,AWD,Japan,5,6.7,1.211
7492,2006,Lexus,NX,SUV,Midsize SUV,Gasoline,21.0,28.0,182,4,1.5,4222,40768,Automatic,AWD,Japan,4,9.5,1.333
7493,2021,Mazda,MX-5,Convertible,Compact,Gasoline,32.0,41.0,163,4,1.6,3131,25737,Automatic,AWD,Japan,3,7.0,1.281
7494,2012,Dodge,Charger,Sedan,Midsize,Gasoline,26.0,35.0,223,6,3.1,3173,35462,Automatic,RWD,USA,4,9.6,1.346
7495,2012,Nissan,Pathfinder,SUV,Midsize SUV,Gasoline,23.0,30.0,218,6,2.9,3922,48953,Automatic,RWD,Japan,4,8.6,1.304
7496,2016,Dodge,Challenger,Coupe,Compact,Gasoline,30.0,36.0,154,4,1.4,3040,28208,Automatic,RWD,USA,5,8.5,1.2
7497,2010,Subaru,Ascent,SUV,Midsize SUV,Gasoline,25.0,30.0,240,4,1.8,4325,42368,Automatic,FWD,Japan,5,6.8,1.2
7498,2002,Lexus,IS,Sedan,Midsize,Gasoline,26.0,36.0,193,4,1.6,3913,30725,Manual,FWD,Japan,5,8.4,1.385
7499,2015,Honda,Passport,SUV,Midsize SUV,Gasoline,25.0,31.0,175,4,1.6,3927,43873,Automatic,FWD,Japan,4,7.2,1.24
7500,2001,Ram,ProMaster,Van,Compact,Gasoline,26.0,33.0,130,4,1.6,2651,25501,Automatic,FWD,USA,5,7.5,1.269
7501,2019,Audi,Q5,SUV,Compact Luxury SUV,Gasoline,22.0,29.0,289,4,1.6,4461,68459,Automatic,FWD,Germany,5,7.6,1.318
7502,2002,Chevrolet,Silverado,Truck,Full-size Truck,Gasoline,17.0,20.0,364,6,3.0,5470,48955,Automatic,FWD,USA,5,7.6,1.176
7503,2011,Volvo,V40,Hatchback,Compact,Gasoline,26.0,33.0,148,4,1.7,2783,30079,Automatic,RWD,Sweden,3,7.2,1.269
7504,2017,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,26.0,33.0,237,4,1.5,3989,51985,Automatic,4WD,Japan,5,7.9,1.269
7505,2024,Mazda,Mazda2,Hatchback,Compact,Gasoline,31.0,41.0,184,4,1.5,3197,32993,Automatic,AWD,Japan,5,10.0,1.323
7506,2011,Mazda,CX-9,SUV,Midsize SUV,Gasoline,23.0,28.0,208,6,3.0,4227,47905,Manual,RWD,Japan,5,9.0,1.217
7507,2011,Nissan,Pathfinder,SUV,Midsize SUV,Gasoline,24.0,31.0,257,6,3.1,3563,41173,Automatic,RWD,Japan,5,9.9,1.292
7508,2007,Volkswagen,Jetta,Sedan,Midsize,Gasoline,28.0,38.0,180,4,1.7,3504,31056,Automatic,AWD,Germany,3,7.3,1.357
7509,2005,Kia,Carnival,Minivan,Compact,Gasoline,29.0,38.0,142,4,1.5,3287,23326,Automatic,AWD,South Korea,5,10.0,1.31
7510,2024,Dodge,Dart,Sedan,Midsize,Gasoline,29.0,40.0,196,4,1.6,3431,35886,Manual,FWD,USA,3,9.7,1.379
7511,2022,BMW,X1,SUV,Subcompact Luxury SUV,Gasoline,27.0,35.0,257,4,1.4,3212,52432,Automatic,4WD,Germany,4,7.7,1.296
7512,2021,Honda,Fit,Hatchback,Subcompact,Gasoline,29.0,39.0,157,4,1.6,2527,24337,Automatic,AWD,Japan,4,6.7,1.345
7513,2020,Hyundai,Venue,SUV,Midsize SUV,Gasoline,20.0,27.0,229,6,3.2,4428,57568,Automatic,RWD,South Korea,5,8.6,1.35
7514,2011,Mazda,CX-5,SUV,Midsize SUV,Gasoline,23.0,30.0,224,6,2.9,4118,43155,Automatic,AWD,Japan,5,9.0,1.304
7515,2005,Kia,Stinger,Sedan,Midsize,Gasoline,29.0,37.0,153,4,1.3,3832,30303,Automatic,FWD,South Korea,5,7.1,1.276
7516,2002,Lexus,NX,SUV,Midsize SUV,Gasoline,21.0,25.0,209,6,3.3,4234,35875,Automatic,4WD,Japan,3,7.6,1.19
7517,2019,Jeep,Renegade,SUV,Midsize SUV,Gasoline,24.0,29.0,250,4,1.7,3959,54875,Automatic,FWD,USA,5,7.1,1.208
7518,2019,BMW,5 Series,Sedan,Midsize Luxury,Gasoline,25.0,34.0,343,6,2.9,4239,68300,Automatic,AWD,Germany,5,4.1,1.36
7519,2023,Lexus,NX,SUV,Midsize SUV,Gasoline,23.0,31.0,232,6,2.9,3624,52914,Automatic,RWD,Japan,5,8.9,1.348
7520,2004,Tesla,Cybertruck,Truck,Full-size Truck,Electric,,,815,0,0.0,5922,51485,Automatic,4WD,USA,4,5.8,
7521,2010,Mazda,Mazda3,Sedan,Midsize,Gasoline,26.0,31.0,179,4,1.5,3427,30587,Automatic,RWD,Japan,5,6.2,1.192
7522,2005,Ram,3500,Truck,Midsize Truck,Gasoline,23.0,27.0,244,4,1.5,4777,33724,Automatic,RWD,USA,3,8.3,1.174
7523,2017,Mercedes-Benz,G-Class,SUV,Full-size Luxury SUV,Diesel,20.0,27.0,445,8,4.4,5636,125309,Automatic,AWD,Germany,5,8.6,1.35
7524,2004,Volvo,V40,Hatchback,Compact,Electric,,,279,0,0.0,3218,22559,Automatic,FWD,Sweden,3,7.7,
7525,2016,Toyota,4Runner,SUV,Midsize SUV,Gasoline,25.0,30.0,237,4,1.4,4019,44374,Automatic,FWD,Japan,5,8.5,1.2
7526,2003,Lexus,NX,SUV,Midsize SUV,Hybrid,32.0,40.0,224,6,3.0,4000,40903,Manual,FWD,Japan,5,7.4,1.25
7527,2012,Subaru,Forester,SUV,Midsize SUV,Gasoline,23.0,31.0,220,6,3.1,4041,48595,Automatic,4WD,Japan,4,6.2,1.348
7528,2010,Volkswagen,Golf,Hatchback,Compact,Gasoline,33.0,40.0,159,4,1.6,2844,24504,Automatic,FWD,Germany,4,8.8,1.212
7529,2003,BMW,X1,SUV,Subcompact Luxury SUV,Diesel,28.0,35.0,192,4,1.5,3107,35375,Manual,FWD,Germany,3,7.6,1.25
7530,2008,Chevrolet,Equinox,SUV,Compact SUV,Gasoline,23.0,29.0,194,4,1.7,3023,30430,Automatic,AWD,USA,5,6.8,1.261
7531,2020,Dodge,Neon,Sedan,Midsize,Gasoline,26.0,31.0,210,4,1.8,3430,41524,Automatic,RWD,USA,4,6.9,1.192
7532,2000,Dodge,Grand Caravan,Minivan,Compact,Gasoline,28.0,35.0,135,4,1.6,3189,20194,Automatic,RWD,USA,5,10.0,1.25
7533,2022,Subaru,Forester,SUV,Midsize SUV,Gasoline,25.0,30.0,256,6,2.9,4348,58148,Automatic,RWD,Japan,5,9.6,1.2
7534,2020,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,351,0,0.0,3390,60658,Automatic,FWD,USA,3,8.3,
7535,2011,Hyundai,Genesis,Sedan,Midsize,Hybrid,39.0,48.0,211,4,1.6,3783,37186,Automatic,AWD,South Korea,5,8.3,1.231
7536,2022,Honda,HR-V,SUV,Subcompact SUV,Gasoline,29.0,40.0,163,4,1.8,3029,33120,Automatic,4WD,Japan,4,5.9,1.379
7537,2003,BMW,2 Series,Coupe,Subcompact Luxury,Gasoline,28.0,37.0,198,4,1.6,3130,31615,Automatic,RWD,Germany,5,6.6,1.321
7538,2014,Dodge,Grand Caravan,Minivan,Compact,Gasoline,24.0,29.0,143,4,1.7,2944,26389,Automatic,FWD,USA,4,6.7,1.208
7539,2007,Audi,Q3,SUV,Subcompact Luxury SUV,Diesel,28.0,38.0,234,6,3.1,3548,36424,Automatic,FWD,Germany,5,7.9,1.357
7540,2014,Mazda,CX-5,SUV,Midsize SUV,Gasoline,25.0,34.0,252,6,2.9,4216,46593,Automatic,RWD,Japan,5,5.3,1.36
7541,2023,Volvo,V40,Hatchback,Compact,Hybrid,44.0,56.0,139,4,1.6,3200,34888,Automatic,RWD,Sweden,5,6.1,1.273
7542,2020,Ford,Mustang,Coupe,Sports,Gasoline,22.0,26.0,304,6,3.1,3528,40926,Automatic,FWD,USA,4,8.1,1.182
7543,2019,Lexus,RC,Coupe,Compact,Gasoline,28.0,36.0,152,4,1.5,3006,31869,Automatic,AWD,Japan,5,5.6,1.286
7544,2018,BMW,3 Series,Sedan,Compact Luxury,Diesel,32.0,38.0,250,6,2.9,3700,51172,Manual,AWD,Germany,4,6.9,1.188
7545,2006,Subaru,Legacy,Sedan,Midsize,Gasoline,23.0,28.0,178,4,1.6,3346,33354,Automatic,AWD,Japan,4,8.3,1.217
7546,2013,Hyundai,Accent,Sedan,Midsize,Hybrid,41.0,55.0,207,6,3.0,3524,33304,Automatic,RWD,South Korea,4,6.6,1.341
7547,2006,Ford,EcoSport,SUV,Subcompact SUV,Gasoline,25.0,31.0,139,4,1.6,2840,30458,Manual,4WD,USA,5,7.3,1.24
7548,2023,Ford,Edge,SUV,Midsize SUV,Gasoline,24.0,31.0,243,6,3.1,3789,54517,Automatic,FWD,USA,5,9.6,1.292
7549,2002,Subaru,Crosstrek,SUV,Midsize SUV,Gasoline,20.0,27.0,241,6,3.0,3870,37337,Automatic,FWD,Japan,5,6.9,1.35
7550,2000,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,398,0,0.0,3378,44971,Automatic,RWD,USA,5,7.9,
7551,2018,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,23.0,29.0,322,8,4.5,5799,67292,Automatic,RWD,USA,4,6.0,1.261
7552,2004,Volkswagen,Arteon,Sedan,Midsize,Gasoline,29.0,38.0,186,4,1.6,3352,32706,Manual,AWD,Germany,5,7.5,1.31
7553,2022,Subaru,Impreza,Sedan,Midsize,Gasoline,28.0,36.0,178,4,1.6,3362,41367,Automatic,AWD,Japan,4,5.9,1.286
7554,2014,Chevrolet,Malibu,Sedan,Midsize,Gasoline,24.0,30.0,220,4,1.5,3343,36851,Manual,RWD,USA,5,8.1,1.25
7555,2013,Subaru,Tribeca,SUV,Midsize SUV,Gasoline,24.0,33.0,209,4,1.6,4172,40874,Automatic,FWD,Japan,5,5.0,1.375
7556,2000,Tesla,Model Y,SUV,Compact Luxury SUV,Electric,,,281,0,0.0,4141,49950,Automatic,RWD,USA,5,6.9,
7557,2001,Mazda,Mazda3,Sedan,Midsize,Gasoline,27.0,37.0,221,6,3.0,2972,26884,Automatic,RWD,Japan,5,7.7,1.37
7558,2005,Lexus,LC,Coupe,Compact,Gasoline,28.0,34.0,162,4,1.7,2959,21966,Automatic,RWD,Japan,4,7.5,1.214
7559,2015,Nissan,Frontier,Truck,Midsize Truck,Gasoline,23.0,31.0,248,6,3.1,4239,36404,Manual,RWD,Japan,5,4.9,1.348
7560,2016,Subaru,Impreza,Sedan,Midsize,Gasoline,27.0,35.0,166,4,1.7,3551,36813,Manual,AWD,Japan,5,6.2,1.296
7561,2011,Toyota,Prius,Hatchback,Compact,Gasoline,31.0,42.0,123,3,0.9,2927,24490,Automatic,AWD,Japan,4,7.3,1.355
7562,2002,Tesla,Model Y,SUV,Compact Luxury SUV,Electric,,,280,0,0.0,4279,44802,Automatic,AWD,USA,5,8.3,
7563,2012,Honda,Passport,SUV,Midsize SUV,Hybrid,34.0,41.0,243,6,3.0,3991,44455,Automatic,FWD,Japan,5,8.8,1.206
7564,2003,Volkswagen,Touareg,SUV,Midsize SUV,Gasoline,23.0,30.0,194,4,1.5,3844,41945,Automatic,FWD,Germany,3,7.4,1.304
7565,2022,Chevrolet,Malibu,Sedan,Midsize,Gasoline,28.0,37.0,203,4,1.6,3495,42943,Automatic,FWD,USA,5,6.4,1.321
7566,2012,Honda,CR-V,SUV,Compact SUV,Gasoline,26.0,31.0,136,4,1.6,3490,32467,Automatic,4WD,Japan,4,9.0,1.192
7567,2003,Subaru,Forester,SUV,Midsize SUV,Gasoline,22.0,28.0,233,4,1.7,4201,35116,Manual,FWD,Japan,5,9.3,1.273
7568,2015,Kia,Niro,Hatchback,Compact,Gasoline,28.0,36.0,156,4,1.7,3204,25327,Automatic,RWD,South Korea,4,8.0,1.286
7569,2005,BMW,M3,Sedan,Sports Luxury,Diesel,20.0,26.0,548,12,6.1,3357,71709,Automatic,RWD,Germany,3,8.4,1.3
7570,2007,Kia,Sorento,SUV,Midsize SUV,Hybrid,37.0,47.0,229,6,3.1,4424,48960,Automatic,4WD,South Korea,4,5.4,1.27
7571,2019,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,15.0,19.0,345,6,3.0,5517,72727,Automatic,AWD,USA,5,9.0,1.267
7572,2007,Jeep,Renegade,SUV,Midsize SUV,Gasoline,23.0,30.0,219,4,1.5,3945,41322,Manual,AWD,USA,5,10.0,1.304
7573,2017,Toyota,Prius,Hatchback,Compact,Gasoline,31.0,43.0,173,4,1.6,3127,32177,Automatic,FWD,Japan,5,8.2,1.387
7574,2010,Lexus,LC,Coupe,Compact,Hybrid,43.0,55.0,146,4,1.6,3344,25774,Automatic,RWD,Japan,5,10.0,1.279
7575,2024,Kia,Seltos,SUV,Midsize SUV,Hybrid,34.0,42.0,227,6,3.1,4115,60796,Manual,FWD,South Korea,5,7.5,1.235
7576,2022,Dodge,Charger,Sedan,Midsize,Gasoline,26.0,35.0,185,4,1.6,3486,38428,Automatic,AWD,USA,3,8.4,1.346
7577,2011,Mercedes-Benz,GLA,SUV,Subcompact Luxury SUV,Gasoline,27.0,36.0,218,4,1.7,3448,41221,Manual,RWD,Germany,5,7.6,1.333
7578,2022,Nissan,Titan,Truck,Midsize Truck,Gasoline,20.0,24.0,258,6,3.1,4588,44500,Automatic,RWD,Japan,4,4.8,1.2
7579,2000,Jeep,Renegade,SUV,Midsize SUV,Gasoline,22.0,27.0,218,4,1.6,3731,38432,Manual,4WD,USA,5,10.0,1.227
7580,2009,Volvo,V40,Hatchback,Compact,Gasoline,26.0,32.0,136,4,1.5,2937,26431,Automatic,RWD,Sweden,5,7.1,1.231
7581,2020,Subaru,Baja,Truck,Midsize Truck,Gasoline,24.0,30.0,267,4,1.5,4410,38792,Automatic,4WD,Japan,3,6.8,1.25
7582,2012,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,342,0,0.0,3523,55082,Automatic,AWD,USA,4,5.0,
7583,2004,Volvo,S60,Sedan,Midsize,Gasoline,30.0,39.0,197,4,1.6,3495,31112,Manual,RWD,Sweden,4,6.4,1.3
7584,2015,Jeep,Grand Wagoneer,SUV,Midsize SUV,Gasoline,23.0,31.0,243,6,2.9,4170,48376,Manual,FWD,USA,5,7.5,1.348
7585,2023,Dodge,Journey,SUV,Midsize SUV,Gasoline,22.0,28.0,258,6,2.9,4105,59680,Automatic,4WD,USA,5,6.8,1.273
7586,2020,Ram,3500,Truck,Midsize Truck,Gasoline,22.0,26.0,260,4,1.4,4399,38877,Automatic,4WD,USA,5,6.8,1.182
7587,2010,Dodge,Dart,Sedan,Midsize,Gasoline,26.0,32.0,180,4,1.7,3596,35781,Automatic,RWD,USA,5,5.7,1.231
7588,2024,Kia,Sportage,SUV,Midsize SUV,Electric,,,281,0,0.0,4327,46266,Automatic,4WD,South Korea,5,7.4,
7589,2008,GMC,Jimmy,SUV,Midsize SUV,Gasoline,21.0,27.0,224,6,3.0,3975,43365,Automatic,FWD,USA,3,7.7,1.286
7590,2008,BMW,X1,SUV,Subcompact Luxury SUV,Diesel,28.0,34.0,212,4,1.6,3266,42693,Automatic,RWD,Germany,5,5.8,1.214
7591,2002,Lexus,UX,SUV,Midsize SUV,Gasoline,25.0,34.0,208,6,3.0,4574,36422,Automatic,AWD,Japan,5,5.4,1.36
7592,2013,Honda,Ridgeline,Truck,Midsize Truck,Hybrid,30.0,41.0,244,6,3.1,4311,33773,Automatic,4WD,Japan,5,5.9,1.367
7593,2004,Audi,A6,Sedan,Midsize Luxury,Gasoline,21.0,28.0,359,6,2.9,4376,63519,Automatic,RWD,Germany,5,3.8,1.333
7594,2005,Toyota,Tacoma,Truck,Midsize Truck,Gasoline,20.0,27.0,278,6,3.0,4847,32158,Automatic,4WD,Japan,3,6.4,1.35
7595,2023,Jeep,Commander,SUV,Midsize SUV,Gasoline,26.0,31.0,253,4,1.5,4151,57192,Automatic,AWD,USA,5,6.6,1.192
7596,2006,Chevrolet,Camaro,Coupe,Sports,Gasoline,19.0,23.0,348,6,3.0,3739,34110,Automatic,FWD,USA,3,4.6,1.211
7597,2015,Mercedes-Benz,A-Class,Hatchback,Subcompact Luxury,Diesel,33.0,40.0,185,4,1.7,3266,44478,Automatic,AWD,Germany,4,8.2,1.212
7598,2004,Nissan,Armada,SUV,Midsize SUV,Gasoline,18.0,23.0,180,4,1.5,4263,47145,Automatic,FWD,Japan,5,7.4,1.278
7599,2012,Chevrolet,Blazer,SUV,Midsize SUV,Gasoline,22.0,29.0,231,4,1.6,4097,40984,Automatic,4WD,USA,5,7.0,1.318
7600,2002,Ram,1500,Truck,Midsize Truck,Gasoline,19.0,23.0,264,4,1.7,4369,31916,Manual,4WD,USA,3,7.0,1.211
7601,2013,Audi,A4,Sedan,Compact Luxury,Gasoline,26.0,35.0,254,4,1.4,3659,55350,Automatic,AWD,Germany,3,6.9,1.346
7602,2009,Nissan,Murano,SUV,Midsize SUV,Gasoline,25.0,34.0,258,6,3.1,4525,38170,Automatic,AWD,Japan,4,7.3,1.36
7603,2022,Honda,HR-V,SUV,Subcompact SUV,Gasoline,28.0,34.0,149,4,1.5,3122,30711,Automatic,FWD,Japan,4,8.2,1.214
7604,2012,Volkswagen,Tiguan,SUV,Midsize SUV,Gasoline,23.0,32.0,184,4,1.5,3998,45257,Automatic,AWD,Germany,4,7.6,1.391
7605,2022,BMW,M3,Sedan,Sports Luxury,Gasoline,19.0,25.0,587,12,5.9,3885,115806,Automatic,AWD,Germany,4,9.8,1.316
7606,2004,Dodge,Charger,Sedan,Midsize,Gasoline,27.0,37.0,187,4,1.5,3601,27885,Automatic,RWD,USA,4,6.8,1.37
7607,2010,Hyundai,Genesis,Sedan,Midsize,Gasoline,27.0,33.0,179,4,1.8,3382,29113,Automatic,RWD,South Korea,5,6.6,1.222
7608,2002,Mercedes-Benz,A-Class,Hatchback,Subcompact Luxury,Gasoline,23.0,28.0,188,4,1.6,3388,37205,Automatic,AWD,Germany,4,7.6,1.217
7609,2016,Honda,Civic,Sedan,Compact,Gasoline,31.0,41.0,170,4,1.6,3066,24122,Manual,AWD,Japan,5,6.6,1.323
7610,2008,Lexus,IS,Sedan,Midsize,Gasoline,28.0,37.0,194,4,1.4,3652,34533,Manual,FWD,Japan,4,8.1,1.321
7611,2020,Dodge,Neon,Sedan,Midsize,Gasoline,25.0,33.0,199,4,1.5,3346,42810,Automatic,RWD,USA,4,8.1,1.32
7612,2016,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,19.0,23.0,308,6,2.9,5566,64247,Manual,RWD,USA,4,7.8,1.211
7613,2023,Subaru,Ascent,SUV,Midsize SUV,Gasoline,24.0,32.0,204,6,3.0,4203,56356,Automatic,RWD,Japan,5,6.0,1.333
7614,2007,Volvo,XC60,SUV,Midsize SUV,Hybrid,35.0,42.0,215,6,3.1,4013,37174,Automatic,4WD,Sweden,5,8.6,1.2
7615,2010,Ford,F-150,Truck,Full-size Truck,Hybrid,22.0,29.0,383,8,4.2,5390,43054,Automatic,AWD,USA,5,7.4,1.318
7616,2001,Dodge,Durango,SUV,Midsize SUV,Gasoline,21.0,27.0,237,6,3.0,3832,40397,Automatic,4WD,USA,4,5.6,1.286
7617,2001,Ram,ProMaster,Van,Compact,Gasoline,22.0,30.0,170,4,1.6,2804,22320,Automatic,AWD,USA,5,7.6,1.364
7618,2014,Hyundai,Tucson,SUV,Midsize SUV,Hybrid,30.0,40.0,209,6,2.9,4294,41746,Automatic,RWD,South Korea,4,9.0,1.333
7619,2004,Volkswagen,Arteon,Sedan,Midsize,Diesel,32.0,40.0,193,4,1.6,3330,30816,Automatic,FWD,Germany,5,9.4,1.25
7620,2023,Hyundai,Sonata,Sedan,Midsize,Hybrid,39.0,50.0,184,4,1.6,3831,34903,Manual,RWD,South Korea,4,9.4,1.282
7621,2005,Toyota,Corolla,Sedan,Compact,Gasoline,27.0,37.0,180,4,1.8,3268,25246,Automatic,FWD,Japan,4,5.7,1.37
7622,2008,Ram,Dakota,Truck,Midsize Truck,Gasoline,17.0,22.0,268,4,1.6,4760,36027,Automatic,FWD,USA,5,8.2,1.294
7623,2013,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,16.0,20.0,310,6,2.9,5694,58766,Automatic,FWD,USA,4,7.3,1.25
7624,2006,GMC,Yukon,SUV,Midsize SUV,Gasoline,26.0,33.0,215,4,1.5,4118,46032,Automatic,FWD,USA,5,6.5,1.269
7625,2014,Jeep,Cherokee,SUV,Midsize SUV,Gasoline,22.0,28.0,235,4,1.5,4341,53286,Automatic,RWD,USA,5,3.9,1.273
7626,2007,Volvo,V40,Hatchback,Compact,Electric,,,341,0,0.0,3280,23394,Automatic,AWD,Sweden,4,8.4,
7627,2024,Audi,Q7,SUV,Midsize Luxury SUV,Diesel,26.0,33.0,365,8,4.5,4767,74406,Automatic,AWD,Germany,5,8.9,1.269
7628,2001,Nissan,Armada,SUV,Midsize SUV,Gasoline,21.0,26.0,223,4,1.5,3818,34493,Automatic,4WD,Japan,3,7.0,1.238
7629,2023,Volkswagen,Touareg,SUV,Midsize SUV,Gasoline,25.0,30.0,247,4,1.8,4432,47549,Manual,FWD,Germany,4,8.8,1.2
7630,2019,BMW,4 Series,Coupe,Compact Luxury,Gasoline,21.0,28.0,223,4,1.6,3660,57769,Manual,AWD,Germany,4,8.8,1.333
7631,2001,Audi,Q8,SUV,Full-size Luxury SUV,Gasoline,17.0,22.0,407,6,3.1,6167,104924,Automatic,AWD,Germany,5,10.0,1.294
7632,2010,Volkswagen,GTI,Hatchback,Compact,Gasoline,29.0,38.0,120,4,1.6,2934,28391,Automatic,FWD,Germany,5,7.3,1.31
7633,2016,Hyundai,Elantra,Sedan,Midsize,Gasoline,28.0,36.0,175,4,1.7,3454,34616,Manual,FWD,South Korea,5,7.4,1.286
7634,2023,Nissan,Kicks,SUV,Midsize SUV,Gasoline,22.0,27.0,249,4,1.5,4174,47852,Manual,RWD,Japan,3,8.1,1.227
7635,2019,Lexus,LS,Sedan,Midsize,Gasoline,32.0,44.0,215,4,1.7,3537,36024,Automatic,AWD,Japan,5,8.2,1.375
7636,2022,Audi,TT,Coupe,Sports Luxury,Gasoline,22.0,29.0,564,10,6.0,3360,98872,Manual,RWD,Germany,4,8.9,1.318
7637,2014,Ford,Explorer,SUV,Midsize SUV,Hybrid,36.0,46.0,231,6,3.1,4253,46330,Manual,FWD,USA,4,7.5,1.278
7638,2010,Mercedes-Benz,CLA,Sedan,Compact Luxury,Gasoline,23.0,29.0,256,6,3.2,3469,51328,Automatic,AWD,Germany,4,6.6,1.261
7639,2015,Ford,Mustang,Coupe,Sports,Hybrid,30.0,40.0,325,8,4.4,3338,46536,Automatic,FWD,USA,4,8.0,1.333
7640,2004,Ram,3500,Truck,Midsize Truck,Gasoline,21.0,25.0,254,4,1.5,4696,37802,Automatic,AWD,USA,4,6.6,1.19
7641,2003,Hyundai,Accent,Sedan,Midsize,Electric,,,292,0,0.0,3697,31122,Automatic,RWD,South Korea,4,8.1,
7642,2013,Audi,Q3,SUV,Subcompact Luxury SUV,Diesel,27.0,34.0,234,6,3.0,3663,44748,Automatic,AWD,Germany,4,8.0,1.259
7643,2019,Honda,CR-V,SUV,Compact SUV,Hybrid,40.0,50.0,199,4,1.6,3336,33683,Automatic,FWD,Japan,5,5.6,1.25
7644,2006,Chevrolet,Traverse,SUV,Midsize SUV,Gasoline,23.0,29.0,244,6,3.0,4177,45964,Automatic,FWD,USA,5,9.7,1.261
7645,2012,Audi,Q3,SUV,Subcompact Luxury SUV,Gasoline,21.0,27.0,192,4,1.6,3665,43310,Manual,4WD,Germany,3,9.1,1.286
7646,2019,BMW,X1,SUV,Subcompact Luxury SUV,Diesel,30.0,38.0,214,4,1.6,3660,52770,Automatic,4WD,Germany,5,7.9,1.267
7647,2010,Toyota,Corolla,Sedan,Compact,Hybrid,44.0,54.0,136,4,1.6,3261,24771,Automatic,RWD,Japan,4,8.3,1.227
7648,2005,Ram,3500,Truck,Midsize Truck,Gasoline,22.0,29.0,275,6,3.1,4621,34920,Automatic,FWD,USA,3,7.7,1.318
7649,2016,Mercedes-Benz,GLE,SUV,Midsize Luxury SUV,Diesel,27.0,37.0,340,6,3.1,4709,80805,Manual,4WD,Germany,5,8.9,1.37
7650,2024,Kia,Forte,Sedan,Midsize,Gasoline,25.0,32.0,203,4,1.7,3456,34930,Automatic,RWD,South Korea,4,8.3,1.28
7651,2007,Tesla,Model 3,Sedan,Compact Luxury,Electric,,,328,0,0.0,3499,49199,Automatic,FWD,USA,5,7.6,
7652,2021,Volkswagen,Arteon,Sedan,Midsize,Gasoline,26.0,35.0,190,4,1.7,3332,39374,Automatic,FWD,Germany,4,7.5,1.346
7653,2001,Subaru,Outback,Wagon,Compact,Gasoline,29.0,37.0,140,4,1.7,3508,22165,Automatic,AWD,Japan,4,7.4,1.276
7654,2005,Kia,Niro,Hatchback,Compact,Gasoline,29.0,40.0,110,3,1.1,3058,20909,Automatic,FWD,South Korea,5,5.3,1.379
7655,2006,Kia,Carnival,Minivan,Compact,Electric,,,295,0,0.0,3024,23068,Automatic,RWD,South Korea,5,6.5,
7656,2014,Ford,Bronco,SUV,Midsize SUV,Hybrid,33.0,40.0,261,6,3.0,4144,42223,Automatic,FWD,USA,5,6.0,1.212
7657,2016,Audi,TT,Coupe,Sports Luxury,Gasoline,21.0,26.0,536,12,6.0,3914,94990,Manual,RWD,Germany,4,8.1,1.238
7658,2016,Jeep,Cherokee,SUV,Midsize SUV,Gasoline,24.0,33.0,207,6,2.9,4159,50061,Automatic,FWD,USA,3,7.4,1.375
7659,2016,Mercedes-Benz,E-Class,Sedan,Midsize Luxury,Diesel,28.0,33.0,326,6,3.0,3955,77975,Manual,AWD,Germany,4,8.7,1.179
7660,2017,Audi,A6,Sedan,Midsize Luxury,Gasoline,24.0,31.0,365,8,4.3,3806,83654,Automatic,RWD,Germany,5,9.0,1.292
7661,2007,Toyota,RAV4,SUV,Compact SUV,Gasoline,25.0,31.0,190,4,1.5,3334,37384,Automatic,FWD,Japan,4,8.3,1.24
7662,2005,Chevrolet,Suburban,SUV,Full-size SUV,Gasoline,16.0,19.0,322,6,3.1,5727,67073,Automatic,FWD,USA,4,9.0,1.188
